IP Interface Status for VRF "CORP"(10)
Interface            IP Address      Interface Status
Vlan16               10.129.131.76   protocol-up/link-up/admin-up       
Vlan20               10.128.144.2    protocol-down/link-down/admin-down 
Vlan25               10.128.178.98   protocol-down/link-down/admin-down 
Vlan28               10.128.32.237   protocol-up/link-up/admin-up       
Vlan30               10.128.32.249   protocol-up/link-up/admin-up       
Vlan172              10.130.72.2     protocol-up/link-up/admin-up       
Vlan618              10.129.130.252  protocol-up/link-up/admin-up       
Vlan1000             10.188.9.249    protocol-up/link-up/admin-up       
Vlan1005             10.188.10.250   protocol-up/link-up/admin-up       
Vlan1013             10.188.21.250   protocol-up/link-up/admin-up       
Vlan1022             10.188.27.250   protocol-up/link-up/admin-up       
Vlan1023             10.253.1.249    protocol-up/link-up/admin-up       
Vlan1026             10.188.36.27    protocol-up/link-up/admin-up       
Vlan1027             10.2.127.249    protocol-down/link-down/admin-down 
Vlan1034             10.188.46.250   protocol-up/link-up/admin-up       
Vlan1046             10.188.63.250   protocol-up/link-up/admin-up       
Vlan1073             10.188.117.250  protocol-up/link-up/admin-up       
Vlan1074             10.188.119.250  protocol-up/link-up/admin-up       
Vlan1075             10.188.121.250  protocol-down/link-down/admin-down 
Vlan1600             10.188.13.249   protocol-down/link-down/admin-down 
Vlan1602             10.188.45.250   protocol-down/link-down/admin-down 
Vlan1605             10.128.22.252   protocol-up/link-up/admin-up       
Vlan1608             10.128.23.124   protocol-up/link-up/admin-up       
Vlan1609             10.128.25.252   protocol-up/link-up/admin-up       
Vlan1610             10.128.21.252   protocol-up/link-up/admin-up       
Vlan1700             10.188.15.28    protocol-down/link-down/admin-down 
Vlan2900             10.129.16.252   protocol-up/link-up/admin-up       
Vlan3001             10.129.131.60   protocol-up/link-up/admin-up       
Vlan3036             10.113.47.249   protocol-down/link-down/admin-down 
Vlan3101             10.253.4.249    protocol-up/link-up/admin-up       
Vlan3103             10.113.119.249  protocol-down/link-down/admin-down 
Vlan3104             10.113.121.249  protocol-down/link-down/admin-down 
Vlan3105             10.113.122.249  protocol-up/link-up/admin-up       
Vlan3106             10.113.123.249  protocol-down/link-down/admin-down 
Vlan3107             10.113.124.249  protocol-down/link-down/admin-down 
Vlan3108             10.113.125.249  protocol-down/link-down/admin-down 
Vlan3150             10.128.115.251  protocol-down/link-down/admin-down 
Vlan3151             10.128.117.251  protocol-down/link-down/admin-down 
Vlan3152             10.128.119.251  protocol-down/link-down/admin-down 
Vlan3153             10.128.121.251  protocol-down/link-down/admin-down 
Vlan3155             10.128.125.251  protocol-up/link-up/admin-up       
Vlan3156             10.128.191.251  protocol-up/link-up/admin-up       
Vlan3157             10.128.247.251  protocol-up/link-up/admin-up       
Vlan3158             10.128.126.251  protocol-down/link-down/admin-down 
Vlan3159             10.128.223.251  protocol-down/link-down/admin-down 
Vlan3160             10.128.135.251  protocol-up/link-up/admin-up       
Vlan3161             10.128.131.251  protocol-up/link-up/admin-up       
Vlan3162             10.253.0.251    protocol-up/link-up/admin-up       
Vlan3163             10.128.145.251  protocol-up/link-up/admin-up       
Vlan3164             10.128.146.251  protocol-up/link-up/admin-up       
Vlan3165             10.128.186.251  protocol-down/link-down/admin-down 
Vlan3166             10.128.123.251  protocol-up/link-up/admin-up       
Vlan3176             10.128.177.252  protocol-up/link-up/admin-up       
Vlan3181             10.128.181.250  protocol-down/link-down/admin-down 
Vlan3182             10.128.182.251  protocol-up/link-up/admin-up       
Vlan3212             10.128.215.252  protocol-up/link-up/admin-up       
Vlan3250             10.128.251.251  protocol-up/link-up/admin-up       
Vlan3251             10.128.147.251  protocol-up/link-up/admin-up       
Vlan3338             10.128.33.252   protocol-up/link-up/admin-up       
Vlan3412             10.113.68.250   protocol-down/link-down/admin-down 
Vlan3413             10.113.66.250   protocol-down/link-down/admin-down 
Vlan3419             10.113.36.4     protocol-down/link-down/admin-down 
Vlan3420             10.113.35.249   protocol-down/link-down/admin-down 
Vlan3422             10.113.76.142   protocol-up/link-up/admin-up       
Vlan3423             10.113.74.249   protocol-down/link-down/admin-down 
Vlan3427             10.113.12.4     protocol-up/link-up/admin-up       
Vlan3428             10.113.14.4     protocol-down/link-down/admin-down 
Vlan3432             10.113.51.250   protocol-up/link-up/admin-up       
Vlan3433             10.113.53.247   protocol-up/link-up/admin-up       
Vlan3436             10.113.59.249   protocol-down/link-down/admin-down 
Vlan3437             10.113.61.161   protocol-up/link-up/admin-up       
Vlan3452             10.113.88.249   protocol-down/link-down/admin-down 
Vlan3453             10.113.89.249   protocol-down/link-down/admin-down 
Vlan3454             10.113.90.249   protocol-down/link-down/admin-down 
Vlan3459             10.113.159.249  protocol-down/link-down/admin-down 
Vlan3460             10.113.191.249  protocol-up/link-up/admin-up       
Vlan3461             10.113.199.249  protocol-up/link-up/admin-up       
Vlan3470             10.119.1.161    protocol-down/link-down/admin-down 
Vlan3471             10.119.7.249    protocol-up/link-up/admin-up       
Vlan3472             10.119.9.249    protocol-down/link-down/admin-down 
Vlan3473             10.119.31.249   protocol-up/link-up/admin-up       
Vlan3474             10.119.39.249   protocol-down/link-down/admin-down 
Vlan3475             10.119.47.249   protocol-down/link-down/admin-down 
Vlan3476             10.119.55.249   protocol-down/link-down/admin-down 
Vlan3477             10.119.56.249   protocol-down/link-down/admin-down 
Vlan3479             10.119.61.249   protocol-up/link-up/admin-up       
Vlan3480             10.119.2.249    protocol-up/link-up/admin-up       
Vlan3482             10.119.63.249   protocol-down/link-down/admin-down 
Vlan3490             10.128.178.33   protocol-up/link-up/admin-up       
Vlan3499             10.128.178.133  protocol-up/link-up/admin-up       
Vlan3500             10.188.15.26    protocol-down/link-down/admin-down 
Vlan3837             10.128.37.252   protocol-up/link-up/admin-up       
Vlan3860             10.128.71.251   protocol-up/link-up/admin-up       
Vlan3861             10.128.79.252   protocol-up/link-up/admin-up       
Vlan3862             10.128.95.252   protocol-up/link-up/admin-up       
Vlan3863             10.128.75.252   protocol-up/link-up/admin-up       
Vlan3864             10.128.99.252   protocol-up/link-up/admin-up       
Vlan3865             10.128.67.252   protocol-down/link-down/admin-down 
Vlan3870             10.128.34.252   protocol-up/link-up/admin-up       
Vlan3871             10.128.36.252   protocol-up/link-up/admin-up       
Vlan3873             10.190.159.251  protocol-down/link-down/admin-down 
Vlan3875             10.128.101.252  protocol-up/link-up/admin-up       
Vlan3876             10.128.103.252  protocol-down/link-down/admin-down 
Vlan3877             10.128.105.252  protocol-down/link-down/admin-down 
Vlan3878             10.128.107.252  protocol-up/link-up/admin-up       
Vlan3879             10.128.109.252  protocol-down/link-down/admin-down 
Vlan3880             10.128.180.253  protocol-down/link-down/admin-down 
Vlan3881             10.128.113.252  protocol-down/link-down/admin-down 
Vlan3882             10.128.151.252  protocol-up/link-up/admin-up       
Vlan3883             10.128.155.252  protocol-up/link-up/admin-up       
Vlan3886             10.128.111.252  protocol-down/link-down/admin-down 
Vlan3887             10.128.217.252  protocol-down/link-down/admin-down 
Vlan3888             10.128.219.252  protocol-down/link-down/admin-down 
Vlan3889             10.128.243.252  protocol-up/link-up/admin-up       
Vlan3890             10.131.255.34   protocol-up/link-up/admin-up       
Vlan3891             10.128.241.252  protocol-up/link-up/admin-up       
Vlan3893             10.128.12.252   protocol-up/link-up/admin-up       
Vlan3894             10.128.13.252   protocol-down/link-down/admin-down 
Vlan3895             10.128.9.252    protocol-up/link-up/admin-up       
Vlan3896             10.128.11.252   protocol-up/link-up/admin-up       
Vlan3897             10.128.127.252  protocol-down/link-down/admin-down 
Vlan3898             10.128.225.252  protocol-down/link-down/admin-down 
Vlan3899             10.128.19.252   protocol-up/link-up/admin-up       
Vlan3900             10.128.255.188  protocol-down/link-down/admin-down 
Vlan3901             10.128.255.220  protocol-up/link-up/admin-up       
Vlan3902             10.128.35.60    protocol-up/link-up/admin-up       
Vlan3903             10.128.35.124   protocol-down/link-down/admin-down 
Vlan3904             10.200.0.252    protocol-down/link-down/admin-down 
Vlan3905             10.200.1.124    protocol-up/link-up/admin-up       
Vlan3907             10.200.1.252    protocol-down/link-down/admin-down 
Vlan3908             10.200.2.12     protocol-down/link-down/admin-down 
Vlan3909             10.200.9.124    protocol-down/link-down/admin-down 
Vlan3911             10.200.15.252   protocol-up/link-up/admin-up       
